,count,accidents,Latitude,Longitude,num_accidents_fatalities,State,County,City,fatalities_ratio
3989,8,"{177377, 122184, 30121, 170730, 178354, 97591, 83165, 140413}",44.3137895,-93.96585894500001,1.0,Minnesota,Nicollet,Saint Peter,0.125
3990,8,"{67648, 102311, 81127, 151032, 189386, 174613, 141368, 133404}",37.58248175,-122.50983862499999,0.0,California,San Mateo,Pacifica,0.0
3991,8,"{177739, 179532, 177293, 179533, 171248, 179536, 169336, 133532}",46.78127125,-92.10282875000001,0.0,Minnesota,St. Louis,Duluth,0.0
3992,8,"{174624, 182146, 135748, 143213, 99059, 175220, 156982, 69017}",37.75932625,-122.1049755,0.0,California,Alameda,Castro Valley,0.0
3993,8,"{120320, 149280, 130926, 121167, 153454, 167774, 115900, 163134}",38.17961,-85.78325,0.0,Kentucky,Jefferson,Louisville,0.0
3994,8,"{78790, 77542, 106472, 86159, 63762, 88020, 78261, 81758}",25.831280375,-80.23911137500001,0.0,Florida,Miami-Dade,Miami,0.0
3995,8,"{181249, 99789, 62258, 156404, 172375, 197243, 127229, 158303}",32.66015575,-117.107743,0.0,California,San Diego,National City,0.0
3996,8,"{120769, 119426, 120771, 62857, 160492, 76621, 29457, 100507}",30.394959333750002,-91.10958347249999,1.0,Louisiana,East Baton Rouge,Baton Rouge,0.125
3997,9,"{77602, 61276, 103528, 97839, 103536, 100725, 203350, 203351, 38524}",28.603486,-81.31128533333334,0.0,Florida,Orange,Winter Park,0.0
3998,8,"{37697, 43144, 52808, 217609, 47851, 47730, 41364, 52602}",43.054297500000004,-76.1519975,0.0,New York,Onondaga,Syracuse,0.0
3999,8,"{74465, 191011, 147460, 81830, 130824, 130825, 67897, 178654}",34.267342,-118.6350085,0.0,California,Ventura,Simi Valley,0.0
4000,10,"{179490, 172164, 61926, 182057, 175979, 175833, 89307, 90844, 68477, 170715}",36.9798617,-121.90847059999999,0.0,California,Santa Cruz,Aptos,0.0
4001,8,"{26305, 98395, 184243, 104407, 188889, 66522, 143643, 185663}",33.69235076375,-117.1196523375,1.0,California,RIVERSIDE ,NOT APPLICABLE,0.125
4002,8,"{159682, 159651, 132709, 159653, 159656, 159664, 159667, 159679}",27.841070000000002,-80.48683,0.0,Florida,Indian River,Sebastian,0.0
4003,8,"{179268, 158439, 68235, 143372, 169740, 176237, 101937, 144849}",45.55859375,-94.13023287499999,0.0,Minnesota,Sherburne,Saint Cloud,0.0
4004,8,"{173947, 69542, 211433, 175825, 144148, 138676, 132347, 70141}",34.1066615,-117.863758875,0.0,California,Los Angeles,Covina,0.0
4005,9,"{177315, 182920, 69514, 175724, 183757, 216268, 72660, 108733, 109949}",38.496151000000005,-121.44044788888888,0.0,California,Sacramento,Sacramento,0.0
4006,8,"{91118, 120111, 137010, 67892, 152629, 166841, 87291, 129853}",36.296893874999995,-86.699176375,0.0,Tennessee,Davidson,Madison,0.0
4007,8,"{33929, 26589, 207477, 33912, 208730, 208731, 50717, 203711}",37.9253425975,-121.732888025,1.0,California,Contra Costa,Brentwood,0.125
4008,8,"{81696, 106113, 78121, 105289, 98258, 66963, 106741, 84700}",44.174442375,-93.949023875,0.0,Minnesota,Blue Earth,Mankato,0.0
4009,8,"{148529, 121138, 141619, 171668, 121109, 121115, 69084, 121117}",38.979202,-77.43449175,0.0,Virginia,Loudoun,Sterling,0.0
4010,8,"{135201, 116580, 131686, 187468, 124916, 126166, 130231, 141630}",39.125031250000006,-84.553305875,0.0,Ohio,Hamilton,Cincinnati,0.0
4011,8,"{67781, 81580, 106606, 86331, 97691, 110073, 105275, 107613}",36.1556355,-86.78971,0.0,Tennessee,Davidson,Nashville,0.0
4012,9,"{134819, 165603, 165604, 52588, 52494, 37392, 155603, 148920, 148922}",29.94496,-90.07778888888889,0.0,Louisiana,Orleans,New Orleans,0.0
4013,8,"{179211, 180926, 179213, 92724, 168476, 144701, 178878, 178879}",34.0657165,-118.155739125,0.0,California,Los Angeles,Alhambra,0.0
4014,8,"{87236, 107979, 107858, 110323, 106548, 95029, 69269, 106783}",25.942959625,-80.195923375,0.0,Florida,Miami-Dade,Miami,0.0
4015,8,"{40874, 112254, 59020, 127455, 46802, 37525, 58942, 56767}",35.162628375,-80.9157525,0.0,North Carolina,Mecklenburg,Charlotte,0.0
4016,8,"{171362, 152199, 152201, 179689, 179690, 178988, 155153, 188310}",37.902885625,-122.51719375,0.0,California,Marin,Mill Valley,0.0
4017,8,"{139487, 103911, 62161, 104945, 167956, 113562, 167963, 129663}",35.022200749999996,-85.26946674999999,0.0,Tennessee,Hamilton,Chattanooga,0.0
4018,8,"{163840, 163841, 163874, 163852, 163917, 163923, 163929, 163899}",40.54142,-74.36584,0.0,New Jersey,Middlesex,Metuchen,0.0
4019,8,"{52387, 38375, 70184, 46953, 64238, 66771, 210836, 104668}",42.75582824999999,-73.775336375,0.0,New York,Albany,Latham,0.0
4020,8,"{218496, 192865, 184711, 207733, 174551, 202585, 164060, 197119}",33.78628825,-84.491947125,0.0,Georgia,Fulton,Atlanta,0.0
4021,8,"{213793, 105027, 99819, 214158, 108882, 67220, 74484, 195615}",43.4346285,-124.220575125,0.0,Oregon,Coos,North Bend,0.0
4022,8,"{180066, 151497, 108491, 176239, 118352, 62163, 178198, 138328}",45.294459,-93.80155725,0.0,Minnesota,Wright,Monticello,0.0
4023,8,"{116227, 74372, 99653, 167518, 87984, 119376, 62291, 123390}",36.207038875,-86.79161525,0.0,Tennessee,Davidson,Nashville,0.0
4024,8,"{52128, 40227, 212422, 52137, 37746, 208884, 51574, 58266}",38.98382,-76.54004849999998,0.0,Maryland,Anne Arundel,Annapolis,0.0
4025,8,"{79841, 188901, 74025, 86890, 97743, 129169, 91993, 26941}",33.76715198625,-117.92027848749998,1.0,California,Orange,Garden Grove,0.125
4026,11,"{101795, 100891, 101613, 71667, 108186, 81271, 69304, 87161, 100346, 76667, 94397}",28.549512545454544,-81.38204790909093,0.0,Florida,Orange,Orlando,0.0
4027,8,"{49577, 134858, 144682, 152749, 178096, 188021, 188469, 139871}",38.730437625,-120.7990655,0.0,California,El Dorado,Placerville,0.0
4028,8,"{187010, 142649, 98473, 106923, 185869, 63279, 36116, 82297}",44.365629750000004,-94.42371812500001,0.0,Minnesota,Brown,New Ulm,0.0
4029,8,"{63200, 38403, 68485, 70605, 78139, 62066, 104915, 61211}",39.400277,-77.43691275,0.0,Maryland,Frederick,Frederick,0.0
4030,8,"{169827, 38408, 61678, 58606, 193583, 214387, 207288, 100411}",26.582747374999997,-81.871847,0.0,Florida,Lee,Fort Myers,0.0
4031,8,"{101408, 131716, 166473, 104618, 78798, 67247, 166479, 120348}",39.983657125,-76.7349095,0.0,Pennsylvania,York,York,0.0
4032,8,"{66944, 128673, 80230, 165289, 165292, 165293, 110426, 72895}",37.6292445,-77.5392375,0.0,Virginia,Henrico,Henrico,0.0
4033,8,"{163395, 91654, 192934, 103497, 98669, 161679, 162743, 213978}",33.71309325,-84.2719845,0.0,Georgia,DeKalb,Decatur,0.0
4034,8,"{191525, 215335, 183566, 91182, 184751, 128306, 178359, 144059}",40.54417,-111.97682125,0.0,Utah,Salt Lake,South Jordan,0.0
4035,8,"{91175, 171496, 111273, 214728, 197803, 218279, 219409, 197211}",43.145820125,-123.38061850000001,0.0,Oregon,Douglas,Roseburg,0.0
4036,8,"{66081, 177666, 26664, 175563, 212219, 101011, 168884, 177659}",38.685655929999996,-121.353961,1.0,California,Sacramento,Sacramento,0.125
4037,8,"{38401, 193309, 37782, 192511, 43644, 39997, 193310, 39999}",38.6524275,-90.19387125,0.0,Missouri,St. Louis City,Saint Louis,0.0
4038,11,"{94113, 104385, 62980, 104356, 83594, 93007, 94416, 68146, 62966, 62266, 75198}",38.597243272727276,-121.41527872727275,0.0,California,Sacramento,Sacramento,0.0
4039,8,"{189697, 169890, 177191, 204072, 49302, 139161, 197147, 208191}",37.2596615,-122.41317575,0.0,California,San Mateo,Pescadero,0.0
4040,8,"{140992, 142478, 147214, 197903, 153651, 154259, 93973, 67611}",35.748499249999995,-78.70193175,0.0,North Carolina,Wake,Raleigh,0.0
4041,8,"{176646, 171783, 214311, 38185, 199403, 198669, 55799, 37693}",40.741550000000004,-73.95445099999999,0.0,New York,Queens,Long Island City,0.0
4042,8,"{28064, 200189, 83459, 38096, 202832, 27379, 104883, 61981}",27.893826833749998,-82.67954484625,2.0,Florida,PINELLAS ,NOT APPLICABLE,0.25
4043,8,"{49475, 192837, 75305, 88079, 136431, 72817, 81812, 181535}",45.1032825,-122.89141575,0.0,Oregon,Marion,Gervais,0.0
4044,8,"{146050, 358, 92621, 120850, 198013, 136344, 104186, 152125}",33.64056248625,-112.0134992,1.0,Arizona,Maricopa,Phoenix,0.125
4045,8,"{103618, 67559, 62408, 104360, 81898, 79755, 106797, 91695}",25.67209,-80.37832474999999,0.0,Florida,Miami-Dade,Miami,0.0
4046,8,"{159969, 69893, 159336, 159338, 159339, 159340, 132317, 83359}",38.714378749999995,-121.487586875,0.0,California,Sacramento,Elverta,0.0
4047,8,"{163057, 166353, 163060, 166356, 166357, 163063, 163066, 163068}",42.33633,-71.11003000000001,0.0,Massachusetts,Suffolk,Boston,0.0
4048,8,"{163040, 180582, 169418, 92240, 94943, 183644, 110942, 130111}",36.921123,-119.73359375,0.0,California,Fresno,Clovis,0.0
4049,8,"{49184, 136417, 123525, 123526, 56210, 60818, 49183, 59775}",47.47636825,-122.792125375,0.0,Washington,Kitsap,Port Orchard,0.0
4050,8,"{147073, 147074, 147075, 147076, 147078, 147079, 216074, 117021}",37.38172,-121.90265,0.0,California,Santa Clara,San Jose,0.0
4051,8,"{198915, 44837, 53324, 39757, 80046, 46735, 38098, 101053}",35.261054625,-80.83989249999999,0.0,North Carolina,Mecklenburg,Charlotte,0.0
4052,8,"{178179, 170086, 171823, 126032, 114518, 182295, 139000, 68157}",37.059434375,-121.662934875,0.0,California,Santa Clara,Morgan Hill,0.0
4053,8,"{128930, 142718, 107081, 105130, 92883, 96060, 110302, 122783}",30.463834999999996,-87.25284562499999,0.0,Florida,Escambia,Pensacola,0.0
4054,8,"{82593, 31944, 159956, 159958, 118553, 159963, 159964, 98431}",45.49805973625,-122.5106258875,1.0,Oregon,Multnomah,Portland,0.125
4055,8,"{189826, 187588, 174059, 164461, 189710, 117040, 115799, 115800}",33.834359500000005,-117.35369299999999,0.0,California,Riverside,Perris,0.0
4056,8,"{80452, 110629, 38662, 109963, 73932, 108750, 83990, 86202}",25.9681645,-80.24669474999999,0.0,Florida,Miami-Dade,Miami Gardens,0.0
4057,8,"{152035, 151208, 152041, 152052, 124630, 117591, 162109, 127646}",36.0900175,-95.85869875,0.0,Oklahoma,Tulsa,Tulsa,0.0
4058,10,"{119841, 203944, 139022, 46228, 68757, 37462, 119838, 134078, 58814, 163871}",41.5887617,-73.90773859999999,0.0,New York,Dutchess,Wappingers Falls,0.0
4059,8,"{159135, 132105, 81578, 66736, 146000, 110004, 140441, 89375}",36.15888449999999,-86.782105,0.0,Tennessee,Davidson,Nashville,0.0
4060,8,"{148480, 176971, 81806, 138994, 106771, 69908, 168568, 168570}",34.236739875,-117.217953625,0.0,California,San Bernardino,Twin Peaks,0.0
4061,8,"{167884, 167886, 160271, 160273, 160275, 160282, 160284, 160287}",37.5346,-77.43261,0.0,Virginia,Richmond City,Richmond,0.0
4062,8,"{42656, 79522, 210659, 197669, 194088, 38697, 203023, 40568}",42.740776625,-84.701195875,0.0,Michigan,Eaton,Grand Ledge,0.0
4063,8,"{68384, 129698, 148165, 148169, 74830, 148147, 163380, 135382}",34.851282000000005,-82.2303905,0.0,South Carolina,Greenville,Greenville,0.0
4064,8,"{105998, 87695, 75792, 81619, 81715, 89816, 68734, 79198}",45.50686025,-122.719362125,0.0,Oregon,Multnomah,Portland,0.0
4065,20,"{110348, 105491, 141209, 141213, 69936, 108721, 139700, 76471, 130624, 93124, 103116, 107358, 109919, 116195, 147569, 106226, 104819, 105459, 147570, 83706}",29.965674600000007,-90.10996650000001,0.0,Louisiana,Orleans,New Orleans,0.0
4066,8,"{215458, 200037, 219237, 98891, 175314, 169242, 31995, 186813}",44.9687348475,-123.29957822499999,1.0,Oregon,Polk,Dallas,0.125
4067,8,"{144902, 94571, 117740, 178989, 61234, 170327, 50488, 860}",38.01973425,-120.2467925,1.0,California,Tuolumne,Sonora,0.125
4068,8,"{144517, 176266, 68718, 126000, 95795, 137204, 77142, 170490}",37.982,-120.29810412500001,0.0,California,Tuolumne,Sonora,0.0
4069,8,"{164711, 164712, 164717, 160239, 160240, 164721, 160245, 164725}",37.5462025,-77.4428675,0.0,Virginia,Richmond City,Richmond,0.0
4070,8,"{171617, 169767, 174765, 115726, 185615, 185617, 174873, 169886}",38.576100749999995,-121.524879625,0.0,California,Yolo,West Sacramento,0.0
